sample_id,file_path,label,domain,source_dataset,generator,split,seg_index,source_file
udio_fake_00145_udio_0_seg0000,Processed/music/fake/udio/fake_00145_udio_0_seg0000.wav,1.0,music,udio,udio,placeholder,0,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0001,Processed/music/fake/udio/fake_00145_udio_0_seg0001.wav,1.0,music,udio,udio,placeholder,1,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0002,Processed/music/fake/udio/fake_00145_udio_0_seg0002.wav,1.0,music,udio,udio,placeholder,2,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0003,Processed/music/fake/udio/fake_00145_udio_0_seg0003.wav,1.0,music,udio,udio,placeholder,3,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0004,Processed/music/fake/udio/fake_00145_udio_0_seg0004.wav,1.0,music,udio,udio,placeholder,4,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0005,Processed/music/fake/udio/fake_00145_udio_0_seg0005.wav,1.0,music,udio,udio,placeholder,5,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0006,Processed/music/fake/udio/fake_00145_udio_0_seg0006.wav,1.0,music,udio,udio,placeholder,6,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0007,Processed/music/fake/udio/fake_00145_udio_0_seg0007.wav,1.0,music,udio,udio,placeholder,7,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0008,Processed/music/fake/udio/fake_00145_udio_0_seg0008.wav,1.0,music,udio,udio,placeholder,8,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0009,Processed/music/fake/udio/fake_00145_udio_0_seg0009.wav,1.0,music,udio,udio,placeholder,9,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0010,Processed/music/fake/udio/fake_00145_udio_0_seg0010.wav,1.0,music,udio,udio,placeholder,10,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0011,Processed/music/fake/udio/fake_00145_udio_0_seg0011.wav,1.0,music,udio,udio,placeholder,11,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0012,Processed/music/fake/udio/fake_00145_udio_0_seg0012.wav,1.0,music,udio,udio,placeholder,12,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0013,Processed/music/fake/udio/fake_00145_udio_0_seg0013.wav,1.0,music,udio,udio,placeholder,13,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0014,Processed/music/fake/udio/fake_00145_udio_0_seg0014.wav,1.0,music,udio,udio,placeholder,14,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0015,Processed/music/fake/udio/fake_00145_udio_0_seg0015.wav,1.0,music,udio,udio,placeholder,15,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0016,Processed/music/fake/udio/fake_00145_udio_0_seg0016.wav,1.0,music,udio,udio,placeholder,16,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0017,Processed/music/fake/udio/fake_00145_udio_0_seg0017.wav,1.0,music,udio,udio,placeholder,17,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0018,Processed/music/fake/udio/fake_00145_udio_0_seg0018.wav,1.0,music,udio,udio,placeholder,18,data/raw/music/fake/udio/fake_00145_udio_0.mp3
udio_fake_00145_udio_0_seg0019,Processed/music/fake/udio/fake_00145_udio_0_seg0019.wav,1.0,music,udio,udio,placeholder,19,data/raw/music/fake/udio/fake_00145_udio_0.mp3
