sample_id,file_path,label,domain,source_dataset,generator,split
asvspoof2021_c33ec300ae8d,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/c33ec300ae8d.wav,0.0,voice,asvspoof2021,human,val
asvspoof2021_cc12d4ebc2a6,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/cc12d4ebc2a6.wav,0.0,voice,asvspoof2021,human,test
asvspoof2021_ac05a528f6dc,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/ac05a528f6dc.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_8324578d82a1,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/8324578d82a1.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_d44f99dae18a,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/d44f99dae18a.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_d6892e4f0861,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/d6892e4f0861.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_646b054bf11c,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/646b054bf11c.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_2f515bc07bd6,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/2f515bc07bd6.wav,0.0,voice,asvspoof2021,human,val
asvspoof2021_4b3f5dcad52e,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/4b3f5dcad52e.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_94909ce99f9c,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/94909ce99f9c.wav,0.0,voice,asvspoof2021,human,val
asvspoof2021_6417664c3ccf,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/6417664c3ccf.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_ec231702c299,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/ec231702c299.wav,0.0,voice,asvspoof2021,human,val
asvspoof2021_6335afd4895d,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/6335afd4895d.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_32bc4155956f,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/32bc4155956f.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_a3f7466dcc6f,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/a3f7466dcc6f.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_233e6395a18b,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/233e6395a18b.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_7ef8bd1c05f5,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/7ef8bd1c05f5.wav,0.0,voice,asvspoof2021,human,test
asvspoof2021_79b2ab177b5c,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/79b2ab177b5c.wav,0.0,voice,asvspoof2021,human,test
asvspoof2021_f588fe97fdf7,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/f588fe97fdf7.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_0bd069566b94,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/0bd069566b94.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_2f27b73d5977,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/2f27b73d5977.wav,0.0,voice,asvspoof2021,human,train
asvspoof2021_6ca19073d4d9,Processed/Voice/Anh-ASVspoof 2021 voice clips/Human voice/6ca19073d4d9.wav,0.0,voice,asvspoof2021,human,train
