sample_id,file_path,label,domain,source_dataset,generator,split
musicgen_musicgen_00000_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00000_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00000_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00000_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00000_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00000_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00000_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00000_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00000_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00000_seg0004.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00001_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00001_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00001_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00001_seg0001.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00001_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00001_seg0002.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00001_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00001_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00001_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00001_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00002_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00002_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00002_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00002_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00002_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00002_seg0002.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00002_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00002_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00002_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00002_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00003_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00003_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00003_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00003_seg0001.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00003_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00003_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00003_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00003_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00003_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00003_seg0004.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00004_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00004_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00004_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00004_seg0001.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00004_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00004_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00004_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00004_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00004_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00004_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00005_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00005_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00005_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00005_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00005_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00005_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00005_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00005_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00005_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00005_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00006_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00006_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00006_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00006_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00006_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00006_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00006_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00006_seg0003.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00006_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00006_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00007_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00007_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00007_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00007_seg0001.wav,1.0,music,musicgen,musicgen,test
